,latitude,longitude,station_name
0,48.21346,11.54096, Feldmoching
1,48.21343,11.5549, Hasenbergl
2,48.21226,11.56297, Dülferstraße
3,48.20507,11.56914, Harthof
4,48.19589,11.57184, Am Hart
5,48.18682,11.57266, Frankfurter Ring
6,48.18186,11.57277, Milbertshofen
7,48.17126,11.57293, Scheidplatz
8,48.16209,11.56866, Hohenzollernplatz
9,48.15568,11.56703, Josephsplatz
10,48.15113,11.56422, Theresienstraße
11,48.14508,11.56337, Königsplatz
12,48.14032,11.56105, Hauptbahnhof
13,48.1334,11.56607, Sendlinger Tor
14,48.12927,11.57431, Fraunhoferstraße
15,48.12083,11.57647, Kolumbusplatz
16,48.11505,11.57974, Silberhornstraße
17,48.11243,11.58777, Untersbergstraße
18,48.11101,11.59538, Giesing
19,48.11845,11.60964, Karl-Preis-Platz
20,48.12066,11.61998, Innsbrucker Ring
21,48.12691,11.63454, Josephsburg
22,48.1258,11.64674, Kreillerstraße
23,48.12584,11.66305, Trudering
24,48.13022,11.67043, Moosfeld
25,48.13334,11.69142, Messestadt West
26,48.13354,11.70434, Messestadt Ost
